id,smaas,group,yoga,meditation,t_oad,t_pad,t_nad,c_oad,c_pad,c_nad,c_pa_nad,t_happy,t_excited,t_relaxed,t_satisfied,t_angry,t_anxious,t_depressed,t_sad,mind,both_mind,gm_smaas,gc_smaas,group_mind,smaas_mind,group_both_mind,smaas_both_mind
29,5.7908163,0,1,1,.082067877,.076139323,.087996423,.13716884,.23715861,.16120897,.090657629,.063693844,.091215223,.087175928,.062472295,.10876982,.062553771,.10018039,.080481723,0,0,4.7575555,1.0332608,0,0,0,0
30,5.3372779,1,1,1,.1177829,.12166357,.11390222,.12047365,.21023384,.19676004,.058206186,.09752313,.15312545,.11535519,.12065051,.10090662,.11236008,.095404349,.14693783,0,0,4.7575555,.5797224,0,0,0,0
31,3.2561405,1,1,1,.077983171,.078218378,.077747963,.1841118,.25040558,.30261949,.11481126,.08261022,.073806599,.10084914,.055607542,.053726826,.075906575,.075190656,.10616779,0,0,4.7575555,-1.501415,0,0,0,0
32,3.4740062,1,1,1,.06880556,.064159274,.073451839,.17632648,.1923793,.23587164,.14797725,.051330555,.069625698,.072293431,.063387409,.05981297,.089216925,.056690685,.088086791,0,0,4.7575555,-1.2835493,0,0,0,0
33,4.7210884,0,1,1,.080379702,.073283613,.087475784,.1272092,.22321916,.1628987,.07782191,.091551721,.054176904,.054506291,.092899539,.079898022,.063809678,.061776988,.14441846,0,0,4.7575555,-.036467075,0,0,0,0
34,5.4550266,0,1,1,.10240648,.10086382,.10394914,.13942434,.19240911,.20512919,.094915725,.10926143,.11817778,.084930919,.091085158,.090213962,.12988161,.108126,.087574966,0,0,4.7575555,.69747114,0,0,0,0
35,5.7045813,0,1,1,.094729982,.087426566,.1020334,.1768004,.3098588,.15766627,.1340788,.079018548,.070823699,.11994761,.079916395,.056835301,.05373738,.13980067,.15776023,0,0,4.7575555,.94702578,0,0,0,0
36,5.1583924,0,1,1,.14498526,.16402717,.12594335,.24885024,.26659527,.34658909,.2055438,.14397904,.17623159,.13802473,.19787332,.17516188,.038207818,.13819656,.15220715,0,0,4.7575555,.40083694,0,0,0,0
37,3.2342768,1,1,1,.10355263,.11702675,.090078518,.12789464,.18769197,.18582043,.083748475,.12982969,.12700647,.10802023,.10325059,.067805208,.073284894,.1099352,.10928877,0,0,4.7575555,-1.5232787,0,0,0,0
39,3.7425742,0,1,1,.081179909,.067380622,.094979197,.13702029,.16103199,.072723076,.15212736,.081425704,.05721717,.047485001,.083394602,.069209553,.073012136,.10667919,.13101588,0,0,4.7575555,-1.0149813,0,0,0,0
40,3.463768,0,1,1,.086181588,.088725001,.083638184,.13450272,.19206142,.088895291,.13002099,.062385261,.068715446,.11088628,.11291301,.042488098,.072232418,.1246369,.095195308,0,0,4.7575555,-1.2937875,0,0,0,0
41,4.4088049,1,1,1,.086972788,.086300671,.087644912,.15169419,.28212753,.15697311,.10080211,.074908115,.093869671,.083511397,.092913508,.1083754,.066956587,.099399559,.075848095,0,0,4.7575555,-.34875059,0,0,0,0
