subjno,dayno,beep,group,emo1_m,emo2_m,emo3_m,emo4_m,emo5_m,emo6_m,emo7_m,emo8_m
2,4,5,2,44,27,29,74,0,0,63,0
2,4,6,2,66,21,63,59,0,0,69,0
2,5,1,2,,,,,,,,
2,5,2,2,,,,,,,,
2,5,3,2,,,,,,,,
2,5,4,2,,,,,,,,
2,5,5,2,,,,,,,,
2,5,6,2,45,0,4,70,1,1,80,0
2,6,1,2,59,55,63,79,0,2,37,1
2,6,2,2,69,65,40,71,0,0,59,0
2,6,3,2,32,44,27,31,42,60,42,14
2,6,4,2,14,7,21,42,0,20,76,44
2,6,5,2,1,1,13,24,0,68,100,20
2,6,6,2,33,70,48,22,1,21,58,30
2,7,1,2,27,32,35,36,3,3,69,2
2,7,2,2,,,,,,,,
2,7,3,2,,,,,,,,
2,7,4,2,29,11,29,19,9,2,72,33
2,7,5,2,,,,,,,,
2,7,6,2,,,,,,,,
2,8,1,2,20,17,29,0,32,2,78,47
2,8,2,2,32,38,26,23,26,0,74,70
2,8,3,2,34,4,26,22,0,0,74,22
2,8,4,2,0,0,21,18,1,0,98,30
2,8,5,2,21,2,24,0,68,1,100,16
2,8,6,2,48,75,0,29,3,2,55,0
2,9,1,2,5,11,24,9,74,1,96,41
2,9,2,2,0,0,3,2,68,16,95,65
2,9,3,2,9,0,10,18,66,0,99,29
2,9,4,2,8,8,25,19,0,10,100,21
2,9,5,2,11,0,19,9,12,0,91,34
2,9,6,2,,,,,,,,
2,10,1,2,18,71,6,2,15,0,76,16
2,10,2,2,42,64,36,31,1,20,88,1
2,10,3,2,28,29,46,22,0,6,66,18
2,10,4,2,20,7,9,14,3,11,69,2
2,10,5,2,77,41,40,26,0,2,68,27
2,10,6,2,,,,,,,,
2,11,1,2,66,67,67,28,27,1,21,0
2,11,2,2,30,82,14,66,0,77,56,0
2,11,3,2,,,,,,,,
2,11,4,2,32,64,8,63,0,36,52,0
2,11,5,2,,,,,,,,
2,11,6,2,72,28,69,67,1,32,41,1
2,12,1,2,31,65,23,45,0,18,47,0
2,12,2,2,30,32,49,33,8,13,67,0
2,12,3,2,43,22,37,19,62,67,78,0
2,12,4,2,68,31,39,67,1,1,12,13
2,12,5,2,,,,,,,,
2,12,6,2,,,,,,,,
2,13,1,2,33,68,63,32,3,8,22,4
2,13,2,2,0,0,1,0,98,3,39,0
2,13,3,2,19,17,30,0,80,0,59,6
2,13,4,2,28,17,25,24,57,24,52,0
2,13,5,2,,,,,,,,
2,13,6,2,,,,,,,,
2,14,1,2,57,75,28,10,22,1,33,13
2,14,2,2,30,44,74,59,1,23,27,1
2,14,3,2,22,22,25,19,0,0,65,22
2,14,4,2,26,58,60,21,23,89,28,14
2,14,5,2,54,70,65,67,16,73,21,12
2,14,6,2,73,21,67,67,32,57,17,10
2,15,1,2,18,49,19,1,96,15,23,0
2,15,2,2,13,24,15,8,100,50,70,8
2,15,3,2,75,30,2,15,58,25,25,13
2,15,4,2,29,76,33,0,49,25,61,18
