id;neuro;extra;opene;agree;consc
81090;118;91;127;133;95
81091;113;94;108;116;108
81100;58;111;153;94;116
81110;107;105;136;123;93
81111;113;68;123;99;71
81121;89;95;99;88;84
81131;94;81;124;111;97
81140;96;94;128;112;104
81141;95;92;113;109;126
81150;104;100;104;101;109
81151;119;71;118;118;92
81160;66;91;103;87;116
81161;119;131;138;127;35
81170;74;98;107;115;110
81171;113;100;97;103;128
81180;66;66;123;89;123
81181;129;86;113;90;99
81210;109;79;89;112;80
81211;93;66;111;135;134
81220;81;91;115;75;118
81221;54;106;129;96;121
81240;72;96;107;113;118
81241;91;98;116;118;123
81260;40;105;97;133;133
81261;51;93;112;103;122
81270;85;76;105;86;82
81271;81;127;120;116;106
81280;66;95;119;107;106
81281;61;102;112;114;128
81290;88;81;92;87;101
81291;108;88;110;106;109
81300;48;67;124;132;140
81301;103;65;127;113;127
81310;77;89;103;111;136
81311;117;114;112;130;89
81320;110;83;107;117;129
81330;90;86;96;92;88
81331;90;86;97;91;87
81340;97;132;102;93;73
81341;106;100;107;107;101
81351;108;84;111;86;118
81360;83;78;105;106;90
81361;90;101;105;112;123
81370;91;88;100;91;92
81371;87;87;98;93;87
81380;101;91;124;133;98
81381;126;74;121;120;115
81401;123;93;126;112;86
81420;83;95;115;100;91
81421;123;76;88;106;85
81431;67;79;106;134;139
81441;78;122;124;106;119
81450;82;105;134;127;118
81451;134;69;144;99;79
81460;88;95;100;110;120
81461;106;115;105;85;99
81470;60;100;132;135;123
81471;82;79;110;117;100
81480;84;103;102;91;102
81481;90;86;96;92;88
81490;70;94;99;124;120
81491;63;123;107;127;119
81501;93;83;100;93;97
81520;79;103;119;90;102
81530;106;62;137;92;73
81531;132;83;127;105;118
81540;79;96;107;119;123
81541;82;85;103;107;103
