ID;KWAAD;KWAAD_1;DEPRE;DEPRE_1;DROEV;DROEV_1;ANGST;ANGST_1;ONTSP;ONTSP_1;BLIJ;BLIJ_1;ID;Neuroticism score
6;4;1;2;5;1;4;2;4;59;69;55;61;;
6;1;4;5;2;1;1;7;2;82;59;65;55;;
6;9999;1;9999;5;9999;1;9999;7;9999;82;9999;65;;
6;1;9999;1;9999;1;9999;1;9999;41;9999;68;9999;;
6;1;1;1;1;1;1;4;1;65;41;54;68;;
6;1;1;1;1;1;1;25;4;61;65;64;54;;
6;9;1;1;1;4;1;3;25;59;61;48;64;;
6;1;9999;1;9999;1;9999;1;9999;59;9999;57;9999;;
6;3;1;1;1;1;1;2;1;57;59;45;57;;
6;1;3;1;1;1;1;1;2;65;57;73;45;;
6;1;1;1;1;1;1;1;1;61;65;42;73;;
6;1;1;1;1;1;1;1;1;52;61;40;42;;
6;1;1;1;1;1;1;3;1;60;52;30;40;;
6;3;1;1;1;1;1;1;3;59;60;47;30;;
6;5;3;2;1;1;1;1;1;67;59;38;47;;
6;6;5;5;2;7;1;6;1;56;67;55;38;;
6;11;6;4;5;1;7;1;6;63;56;57;55;;
6;4;9999;1;9999;3;9999;6;9999;75;9999;42;9999;;
6;1;4;1;1;1;3;1;6;61;75;6;42;;
6;1;1;1;1;12;1;14;1;36;61;51;6;;
6;1;1;10;1;9;12;5;14;59;36;56;51;;
6;1;1;2;10;1;9;15;5;50;59;50;56;;
6;5;1;4;2;2;1;2;15;46;50;54;50;;
6;6;5;3;4;1;2;4;2;60;46;50;54;;
6;7;6;1;3;2;1;5;4;11;60;12;50;;
6;65;7;50;1;1;2;11;5;19;11;7;12;;
6;9999;65;9999;50;9999;1;9999;11;9999;19;9999;7;;
8;9;9999;14;9999;12;9999;14;9999;33;9999;51;9999;;
8;10;9;10;14;12;12;5;14;32;33;48;51;;
8;8;10;5;10;5;12;5;5;69;32;39;48;;
8;8;8;1;5;3;5;5;5;54;69;59;39;;
8;6;8;6;1;5;3;9;5;84;54;86;59;;
8;6;6;4;6;6;5;8;9;18;84;44;86;;
8;6;6;11;4;5;6;10;8;53;18;77;44;;
8;9;6;12;11;7;5;11;10;12;53;54;77;;
8;7;9999;6;9999;7;9999;7;9999;79;9999;89;9999;;
8;7;7;2;6;5;7;5;7;41;79;82;89;;
8;4;7;6;2;7;5;8;5;54;41;51;82;;
8;5;4;3;6;4;7;3;8;77;54;81;51;;
8;6;5;5;3;4;4;5;3;42;77;88;81;;
8;6;6;4;5;1;4;6;5;47;42;81;88;;
8;4;6;1;4;1;1;1;6;67;47;82;81;;
8;1;4;1;1;28;1;3;1;75;67;45;82;;
8;1;1;1;1;1;28;5;3;70;75;86;45;;
8;39;1;35;1;50;1;8;5;20;70;61;86;;
8;1;9999;1;9999;1;9999;1;9999;41;9999;44;9999;;
8;1;1;1;1;1;1;1;1;77;41;92;44;;
8;1;1;1;1;1;1;1;1;100;77;93;92;;
8;1;1;1;1;1;1;1;1;75;100;53;93;;
8;1;1;1;1;1;1;1;1;68;75;78;53;;
8;1;1;1;1;1;1;2;1;87;68;87;78;;
8;1;1;1;1;1;1;1;2;82;87;91;87;;
8;1;1;1;1;21;1;1;1;62;82;40;91;;
8;4;1;1;1;1;21;1;1;80;62;100;40;;
8;3;9999;1;9999;2;9999;1;9999;59;9999;84;9999;;
8;1;3;1;1;5;2;1;1;80;59;82;84;;
8;1;1;1;1;1;5;1;1;79;80;85;82;;
8;15;1;1;1;1;1;1;1;59;79;86;85;;
8;32;15;1;1;1;1;1;1;26;59;85;86;;
8;1;32;1;1;1;1;1;1;68;26;100;85;;
8;1;1;5;1;1;1;1;1;80;68;59;100;;
8;1;1;1;5;1;1;1;1;80;80;79;59;;
8;1;1;1;1;9;1;1;1;73;80;59;79;;
8;5;1;1;1;1;9;1;1;60;73;40;59;;
8;1;9999;1;9999;23;9999;1;9999;78;9999;42;9999;;
8;1;1;20;1;19;23;1;1;78;78;53;42;;
8;1;1;2;20;56;19;4;1;77;78;47;53;;
8;1;1;1;2;42;56;1;4;64;77;45;47;;
8;1;1;23;1;59;42;1;1;77;64;41;45;;
8;1;1;1;23;1;59;1;1;61;77;75;41;;
8;9999;1;9999;1;9999;1;9999;1;9999;61;9999;75;;
8;1;9999;1;9999;1;9999;1;9999;88;9999;69;9999;;
8;1;1;1;1;25;1;52;1;26;88;50;69;;
8;1;1;1;1;1;25;1;52;100;26;89;50;;
8;1;9999;1;9999;1;9999;1;9999;75;9999;86;9999;;
8;9999;1;9999;1;9999;1;9999;1;9999;75;9999;86;;
8;1;9999;1;9999;1;9999;1;9999;77;9999;77;9999;;
8;1;1;1;1;1;1;1;1;80;77;88;77;;
8;1;1;1;1;1;1;1;1;81;80;92;88;;
8;1;1;1;1;1;1;1;1;76;81;80;92;;
8;1;1;1;1;1;1;1;1;100;76;81;80;;
8;1;1;1;1;1;1;1;1;81;100;84;81;;
8;1;1;1;1;7;1;1;1;80;81;43;84;;
8;1;1;1;1;22;7;1;1;77;80;57;43;;
8;4;9999;1;9999;26;9999;1;9999;80;9999;71;9999;;
8;1;4;1;1;1;26;1;1;89;80;82;71;;
8;2;1;1;1;2;1;1;1;89;89;82;82;;
8;1;2;1;1;1;2;1;1;79;89;81;82;;
8;1;1;1;1;1;1;1;1;88;79;100;81;;
8;1;1;1;1;1;1;1;1;80;88;80;100;;
8;1;1;1;1;1;1;1;1;80;80;78;80;;
8;1;1;1;1;23;1;1;1;89;80;60;78;;
8;1;1;1;1;14;23;1;1;92;89;59;60;;
9;6;9999;11;9999;1;9999;7;9999;82;9999;92;9999;;
9;1;6;20;11;8;1;10;7;68;82;70;92;;
9;1;1;10;20;12;8;1;10;88;68;77;70;;
9;13;1;19;10;6;12;13;1;14;88;79;77;;
9;1;13;1;19;30;6;1;13;94;14;71;79;;
9;1;1;1;1;1;30;1;1;69;94;87;71;;
9;1;1;33;1;5;1;8;1;39;69;87;87;;
9;1;9999;1;9999;1;9999;8;9999;86;9999;52;9999;;
9;1;1;1;1;1;1;1;8;100;86;79;52;;
9;1;1;2;1;1;1;1;1;66;100;71;79;;
9;1;1;62;2;84;1;60;1;1;66;1;71;;
9;1;1;1;62;35;84;1;60;100;1;49;1;;
9;1;1;13;1;20;35;1;1;84;100;61;49;;
9;1;1;1;13;28;20;1;1;75;84;53;61;;
9;8;1;1;1;20;28;1;1;88;75;68;53;;
9;14;9999;9;9999;10;9999;4;9999;76;9999;75;9999;;
9;3;14;1;9;16;10;4;4;77;76;66;75;;
9;5;3;1;1;16;16;1;4;55;77;63;66;;
9;5;5;3;1;1;16;2;1;84;55;69;63;;
9;1;5;6;3;3;1;1;2;85;84;76;69;;
9;17;1;1;6;12;3;1;1;73;85;61;76;;
